indicador,ano
taxaDiarreia,2015
taxaDiarreia,2016
taxaDiarreia,2017
taxaDiarreia,2018
taxaDiarreia,2019
taxaDiarreia,2020
taxaDiarreia,2021
taxaDiarreia,2022
taxaDiarreia,2023
taxaDiarreia,2024
